Code, Label, LangCode, Description
"QC", "Crops", "EN", "Q"
"TP", "Crops and livestock products", "EN", "T"
"PC", "Crops Primary", "EN", "P"
"QD", "Crops processed", "EN", "Q"
"RF", "Fertilizers", "EN", "R"
"RV", "Fertilizers - Trade Value", "EN", "R"
"RA", "Fertilizers archive", "EN", "R"
"F", "Forestry", "EN", "F"
"F4", "JFSQ", "EN", "F"
"F1", "JQ1", "EN", "F"
"F2", "JQ2", "EN", "F"
"RL", "Land", "EN", "R"
"TA", "Live animals", "EN", "T"
"QA", "Live Animals", "EN", "Q"
"PL", "Livestock Primary", "EN", "P"
"QL", "Livestock Primary", "EN", "Q"
"QP", "Livestock Processed", "EN", "Q"
"RM", "Machinery", "EN", "R"
"RY", "Machinery Archive", "EN", "R"
"ME", "Macro-Economic", "EN", "E"
"RP", "Pesticides (consumption)", "EN", "R"
"RT", "Pesticides (trade)", "EN", "R"
"PI", "Price Index", "EN", "P"
"P", "Prices", "EN", "P"
"Q", "Production", "EN", "Q"
"R", "Resources", "EN", "R"
"F3", "SP", "EN", "F"
"S", "SUA", "EN", "S"
"SD", "SUA Crops Derived", "EN", "S"
"SC", "SUA Crops Primary", "EN", "S"
"SA", "SUA Live Animals", "EN", "S"
"SP", "SUA Livestock Derived", "EN", "S"
"SL", "SUA Livestock Prim Fish", "EN", "S"
"TI", "TIN", "EN", "T"
"T", "Trade", "EN", "T"
"PT", "Trade Partner", "EN", "T"
"F", "null", "FR", "F"
"F1", "null", "FR", "F"
"F2", "null", "FR", "F"
"F3", "null", "FR", "F"
"F4", "null", "FR", "F"
"ME", "null", "FR", "E"
"PI", "null", "FR", "P"
"PT", "null", "FR", "T"
"R", "null", "FR", "R"
"RA", "null", "FR", "R"
"RY", "null", "FR", "R"
"S", "null", "FR", "S"
"SD", "null", "FR", "S"
"SP", "null", "FR", "S"
"TI", "null", "FR", "T"
"TA", "Animaux vivants", "FR", "T"
"SA", "CDU Animaux Vivants", "FR", "S"
"SL", "CDU Elevage Primaire Poissons", "FR", "S"
"SC", "CDU Récoltes Primaires", "FR", "S"
"T", "Commerce", "FR", "T"
"QC", "Cultures", "FR", "Q"
"TP", "Cultures et produits animaux", "FR", "T"
"QA", "Élevage", "FR", "Q"
"QL", "Elevage primaire", "FR", "Q"
"PL", "Elevage Primaire", "FR", "P"
"QP", "Elevage transformé", "FR", "Q"
"RF", "Engrais", "FR", "R"
"RV", "Engrais - Valeur du commerce", "FR", "R"
"RM", "Machines", "FR", "R"
"RT", "Pesticides (commerce)", "FR", "R"
"RP", "Pesticides (consommation)", "FR", "R"
"P", "Prix", "FR", "P"
"Q", "Production", "FR", "Q"
"PC", "Récoltes Primaires", "FR", "P"
"QD", "Récoltes transformées", "FR", "Q"
"RL", "Terres", "FR", "R"
"F", "null", "ES", "F"
"F1", "null", "ES", "F"
"F2", "null", "ES", "F"
"F3", "null", "ES", "F"
"F4", "null", "ES", "F"
"ME", "null", "ES", "E"
"PI", "null", "ES", "P"
"PT", "null", "ES", "T"
"R", "null", "ES", "R"
"RA", "null", "ES", "R"
"RY", "null", "ES", "R"
"S", "null", "ES", "S"
"SD", "null", "ES", "S"
"SP", "null", "ES", "S"
"TI", "null", "ES", "T"
"TA", "Animales vivos", "ES", "T"
"T", "Comercio", "ES", "T"
"QD", "Cosechas procesadas", "ES", "Q"
"SA", "CSU Animales vivos", "ES", "S"
"SC", "CSU Cultivos primarios", "ES", "S"
"SL", "CSU Ganadería Primaria Peces", "ES", "S"
"QC", "Cultivos", "ES", "Q"
"PC", "Cultivos primarios", "ES", "P"
"TP", "Cultivos y productos de ganadería", "ES", "T"
"RF", "Fertilizantes", "ES", "R"
"RV", "Fertilizantes - Valor del comercio", "ES", "R"
"QA", "Ganadería", "ES", "Q"
"QL", "Ganadería primaria", "ES", "Q"
"PL", "Ganadería Primaria", "ES", "P"
"QP", "Ganadería procesada", "ES", "Q"
"RM", "Maquinaria", "ES", "R"
"RT", "Plaguicidas (comercio)", "ES", "R"
"RP", "Plaguicidas (consumo)", "ES", "R"
"P", "Precios", "ES", "P"
"Q", "Producción", "ES", "Q"
"RL", "Tierra", "ES", "R"
"QA", "null", "AR", "Q"
"QC", "null", "AR", "Q"
"QD", "null", "AR", "Q"
"QL", "null", "AR", "Q"
"QP", "null", "AR", "Q"
"R", "null", "AR", "R"
"RA", "null", "AR", "R"
"RF", "null", "AR", "R"
"RL", "null", "AR", "R"
"RM", "null", "AR", "R"
"RP", "null", "AR", "R"
"RT", "null", "AR", "R"
"RV", "null", "AR", "R"
"RY", "null", "AR", "R"
"S", "null", "AR", "S"
"SA", "null", "AR", "S"
"SC", "null", "AR", "S"
"SD", "null", "AR", "S"
"SL", "null", "AR", "S"
"SP", "null", "AR", "S"
"F", "null", "AR", "F"
"F1", "null", "AR", "F"
"F2", "null", "AR", "F"
"F3", "null", "AR", "F"
"F4", "null", "AR", "F"
"ME", "null", "AR", "E"
"PC", "null", "AR", "P"
"PI", "null", "AR", "P"
"PL", "null", "AR", "P"
"PT", "null", "AR", "T"
"TA", "null", "AR", "T"
"TI", "null", "AR", "T"
"TP", "null", "AR", "T"
"P", "الأسعار", "AR", "P"
"Q", "الإنتاج", "AR", "Q"
"T", "التجاره", "AR", "T"
"QA", "null", "ZH", "Q"
"QC", "null", "ZH", "Q"
"QD", "null", "ZH", "Q"
"QL", "null", "ZH", "Q"
"QP", "null", "ZH", "Q"
"R", "null", "ZH", "R"
"RA", "null", "ZH", "R"
"RF", "null", "ZH", "R"
"RL", "null", "ZH", "R"
"RM", "null", "ZH", "R"
"RP", "null", "ZH", "R"
"RT", "null", "ZH", "R"
"RV", "null", "ZH", "R"
"RY", "null", "ZH", "R"
"S", "null", "ZH", "S"
"SA", "null", "ZH", "S"
"SC", "null", "ZH", "S"
"SD", "null", "ZH", "S"
"SL", "null", "ZH", "S"
"SP", "null", "ZH", "S"
"F", "null", "ZH", "F"
"F1", "null", "ZH", "F"
"F2", "null", "ZH", "F"
"F3", "null", "ZH", "F"
"F4", "null", "ZH", "F"
"ME", "null", "ZH", "E"
"PC", "null", "ZH", "P"
"PI", "null", "ZH", "P"
"PL", "null", "ZH", "P"
"PT", "null", "ZH", "T"
"TA", "null", "ZH", "T"
"TI", "null", "ZH", "T"
"TP", "null", "ZH", "T"
"P", "价格", "ZH", "P"
"Q", "生产", "ZH", "Q"
"T", "贸易", "ZH", "T"
"QA", "null", "RU", "Q"
"QC", "null", "RU", "Q"
"QD", "null", "RU", "Q"
"QL", "null", "RU", "Q"
"QP", "null", "RU", "Q"
"R", "null", "RU", "R"
"RA", "null", "RU", "R"
"RF", "null", "RU", "R"
"RL", "null", "RU", "R"
"RM", "null", "RU", "R"
"RP", "null", "RU", "R"
"RT", "null", "RU", "R"
"RV", "null", "RU", "R"
"RY", "null", "RU", "R"
"S", "null", "RU", "S"
"SA", "null", "RU", "S"
"SC", "null", "RU", "S"
"SD", "null", "RU", "S"
"SL", "null", "RU", "S"
"SP", "null", "RU", "S"
"F", "null", "RU", "F"
"F1", "null", "RU", "F"
"F2", "null", "RU", "F"
"F3", "null", "RU", "F"
"F4", "null", "RU", "F"
"ME", "null", "RU", "E"
"PC", "null", "RU", "P"
"PI", "null", "RU", "P"
"PL", "null", "RU", "P"
"PT", "null", "RU", "T"
"TA", "null", "RU", "T"
"TI", "null", "RU", "T"
"TP", "null", "RU", "T"
"T", "Внешяя Торговля", "RU", "T"
"Q", "Производство", "RU", "Q"
"P", "Цены", "RU", "P"