Date,Country,Nature of Food Insecurity,Main Reasons,Changes from Last Report
01-2006,43,3,"Civil strife, IDPs and returnees",''
01-2006,77,3,"Drought, IDPs, returnees, high food prices",''
01-2006,79,3,"Drought, IDPs, high food prices",''
01-2006,142,3,Drought in parts,''
01-2006,152,3,"Drought in parts, high food prices ",''
01-2006,226,3,"Civil strife, drought in parts",''
01-2006,235,3,Drought in parts,''
01-2006,271,3,Economic Crisis,''
01-2006,144,4,"Recent civil strife, IDPs",''
01-2006,159,4,After effects of 2004 drought and locusts,''
01-2006,181,4,After effects of 2004 drought and locusts,''
01-2006,221,4,"Returnees, refugees",''
01-2006,1,4,"Civil strife, IDPs and returnees",''
01-2006,118,4,Conflict and insecurity,''
01-2006,67,4,Economic constraints,''
01-2006,167,4,Summer drought and harsh winter,''
01-2006,175,4,Civil strife,''
01-2006,242,4,Drought,''
01-2006,108,4,Civil strife and drought,''
01-2006,8,5,Resettlement of returnees,''
01-2006,42,5,After effects of 2004 drought and locusts,''
01-2006,50,5,Refugees,''
01-2006,49,5,Recent civil strife,''
01-2006,68,5,"Civil strife, IDPs and refugees",''
01-2006,59,5,"IDPs, refugees",''
01-2006,66,5,"Civil strife, IDPs",''
01-2006,106,5,"IDPs, refugees",''
01-2006,133,5,Drought in parts,''
01-2006,155,5,After effects of 2004 drought and locusts,''
01-2006,170,5,Drought in parts,''
01-2006,232,5,"Civil strife, returnees, drought in parts",''
01-2006,257,5,Drought in parts,''
01-2006,253,5,"Civil strife, IDPs",''
01-2006,270,5,Drought in parts,''
01-2006,139,5,Floods and drought,''
01-2006,154,5,Tsunami,''
01-2006,188,5,Earthquake,''
01-2006,231,5,Tsunami,''
01-2006,57,5,"Civil strife, IDPs",''
01-2006,63,5,Drought,''
01-2006,103,5,Hurricanes,''
01-2006,111,5,Hurricanes,''
01-2006,180,5,Hurricanes and pests,''
03-2006,170,5,Drought or floods in parts,''
03-2006,79,3,"Drought, IDPs, high food prices",''
03-2006,79,4,Poverty - Drought in the Ogaden Region,''
03-2006,1,4,"Civil strife, IDPs and returnees",''
03-2006,43,3,"Civil strife, IDPs and returnees",''
03-2006,77,3,"Drought, IDPs, returnees, high food prices",''
03-2006,142,3,After effects of 2004-2005 Drought,''
03-2006,152,3,High food prices,''
03-2006,226,3,"Drought, civil strife",''
03-2006,235,3,After effects of 2004-2005 Drought,''
03-2006,271,3,Economic Crisis,''
03-2006,144,4,"Post-conflict recovery period, IDPs",''
03-2006,159,4,After effects of 2004 drought and locusts,''
03-2006,181,4,"After effects of 2004, avian influenza",''
03-2006,221,4,Post-conflict recovery period,''
03-2006,8,5,Resettlement of returnees,''
03-2006,42,5,After effects of 2004 drought and locusts,''
03-2006,50,5,Refugees,''
03-2006,49,5,Recent civil strife,''
03-2006,59,5,"IDPs, refugees",''
03-2006,68,5,"Civil strife, IDPs and refugees",''
03-2006,66,5,"Civil strife, IDPs",''
03-2006,133,5,Drought in parts,''
03-2006,170,5,Drought in parts,''
03-2006,155,5,After effects of 2004 drought and locusts,''
03-2006,232,5,"Civil strife, returnees, drought in parts",''
03-2006,257,5,Drought in parts,''
03-2006,253,5,"Civil strife, IDPs",''
03-2006,270,5,Drought in parts,''
03-2006,118,4,Conflict and insecurity,''
03-2006,67,4,Economic constraints,''
03-2006,167,4,Adverse weather conditions,''
03-2006,175,4,Civil strife,''
03-2006,242,4,Adverse weather conditions,''
03-2006,188,5,After effects of the Kashmir earthquake,''
03-2006,108,4,Civil strife and drought,''
03-2006,57,5,"Civil strife, IDPs",''
03-2006,63,5,Lower planted area and yields,''
03-2006,103,5,After effects of Hurricanes,''
03-2006,111,5,After effects of Hurricanes,''
03-2006,231,5,"After effects of Tsunami, civil strife",''
03-2006,106,5,"IDPs, refugees",''
03-2006,79,5,"IDPs, low incomes, drought in Ogaden region",''
03-2006,8,5,Resettlement of returnees,''
03-2006,8,5,Resettlement of returnees,''
03-2006,68,5,"Civil strife, IDPs and refugees",''
03-2006,152,3,High food prices,''
03-2006,170,5,Drought in parts,''
03-2006,235,3,After effects of 2004-2005 Drought,''
04-2006,8,5,Resettlement of returnees,''
04-2006,43,3,"Civil strife, IDPs and returnees",''
04-2006,142,3,After effects of 2004-2005 Drought,''
04-2006,271,3,Economic Crisis,''
04-2006,235,3,After effects of 2004-2005 Drought,''
04-2006,43,3,"Civil strife, IDPs and returnees",''
04-2006,235,3,After effects of 2004-2005 Drought,''
04-2006,271,3,Economic Crisis,''
04-2006,170,5,Drought in parts,''
04-2006,271,3,Economic Crisis,''
04-2006,43,3,"Civil strife, IDPs, returnees and dry spells",''
05-2006,8,5,"Resettlement of returnees, droght in parts",''
05-2006,68,5,"Civil strife, IDPs and refugees",''
05-2006,271,3,Economic Crisis,''
05-2006,142,3,After effects of 2004-2005 Drought,''
05-2006,8,5,"Resettlement of returnees, drought in parts",''
05-2006,150,5,Dry weather in the south affected main season harvest of coarse grains,''
07-2006,8,5,"Resettlement of returnees, adverse weather in parts",''
07-2006,1,4,"Civil strife, IDPs and returnees, avian influenza",''
07-2006,42,5,"After effects of 2004 drought and locusts, avian influenza",''
07-2006,43,3,"Civil strife, IDPs, returnees and recent dry spells",''
07-2006,49,5,"Recent civil strife, insecurity",''
07-2006,50,5,"Refugees, insecurity",''
07-2006,57,5,"Civil strife, IDPs",''
07-2006,59,5,"IDPs, refugees",''
07-2006,68,5,"Civil strife, IDPs and refugees",''
07-2006,66,5,"Civil strife, IDPs, avian influenza",''
07-2006,63,5,Lower planted area and yields,''
07-2006,77,3,"Drought, IDPs, returnees, high food prices",''
07-2006,79,5,"IDPs, low incomes, drought in south-eastern parts",''
07-2006,106,5,"IDPs, refugees, high food prices",''
07-2006,105,5,Floods in parts,''
07-2006,108,4,"Insecurity, constraints to agriculture",''
07-2006,116,5,After effects of the Tsunami and earthquake,''
07-2006,118,4,"Conflict and insecurity, IDPs",''
07-2006,133,5,Drought in parts,''
07-2006,67,4,Economic constraints,''
07-2006,141,5,Conflict and insecurity,''
07-2006,142,3,"Multiple year droughts, HIV/AIDS impact",''
07-2006,144,4,"Post-conflict recovery period, IDPs",''
07-2006,150,5,Drought in parts,''
07-2006,155,5,After effects of 2004 drought and locusts,''
07-2006,159,4,After effects of 2004 drought and locusts,''
07-2006,167,4,Adverse weather conditions,''
07-2006,175,4,Civil strife and drought,''
07-2006,181,4,"After effects of 2004, avian influenza",''
07-2006,188,5,After effects of the Kashmir earthquake,''
07-2006,204,5,Civil strife,''
07-2006,221,4,"Post-conflict recovery period, refugees",''
07-2006,226,3,"Drought, civil strife",''
07-2006,231,5,"After effects of the Tsunami, insecurity",''
07-2006,40764,5,"Civil strife, returnees, drought in parts",''
07-2006,235,3,"Multiple year droughts, HIV/AIDS impact",''
07-2006,257,5,Drought in parts,''
07-2006,242,4,"Adverse weather conditions, civil strife",''
07-2006,253,5,"Civil strife, IDPs",''
07-2006,271,3,Deepening Economic Crisis,''
08-2006,1,4,"Civil strife, IDPs and returnees, avian influenza",''
08-2006,8,5,"Resettlement of returnees, adverse weather in parts",''
08-2006,42,5,"After effects of 2004 drought and locusts, avian influenza",''
08-2006,43,3,"Civil strife, IDPs, returnees and recent dry spells",''
08-2006,49,5,"Recent civil strife, insecurity",''
08-2006,50,5,"Refugees, insecurity",''
08-2006,57,5,"Civil strife, IDPs",''
08-2006,59,5,"IDPs, refugees",''
08-2006,68,5,"Civil strife, IDPs and refugees",''
08-2006,66,5,"Civil strife, IDPs, avian influenza",''
08-2006,63,5,Lower planted area and yields,''
08-2006,77,3,"Drought, IDPs, returnees, high food prices",''
08-2006,79,5,"IDPs, low incomes, drought in south-eastern parts",''
08-2006,106,5,"IDPs, refugees, high food prices",''
08-2006,105,5,Floods in parts,''
08-2006,108,4,"Insecurity, constraints to agriculture",''
08-2006,116,5,After effects of the Tsunami and earthquake,''
08-2006,118,4,"Conflict and insecurity, IDPs",''
08-2006,133,5,Drought in parts,''
08-2006,67,4,Economic constraints,''
08-2006,141,5,Conflict and insecurity,''
08-2006,142,3,"Multiple year droughts, HIV/AIDS impact",''
08-2006,144,4,"Post-conflict recovery period, IDPs",''
08-2006,150,5,Drought in parts,''
08-2006,155,5,After effects of 2004 drought and locusts,''
08-2006,159,4,After effects of 2004 drought and locusts,''
08-2006,167,4,Adverse weather conditions,''
08-2006,175,4,Civil strife and drought,''
08-2006,181,4,"After effects of 2004, avian influenza",''
08-2006,188,5,After effects of the Kashmir earthquake,''
08-2006,204,5,Civil strife,''
08-2006,221,4,"Post-conflict recovery period, refugees",''
08-2006,226,3,"Drought, civil strife",''
08-2006,231,5,"After effects of the Tsunami, insecurity",''
08-2006,40764,5,"Civil strife, returnees, drought in parts",''
08-2006,235,3,"Multiple year droughts, HIV/AIDS impact",''
08-2006,257,5,Drought in parts,''
08-2006,242,4,"Adverse weather conditions, civil strife",''
08-2006,253,5,"Civil strife, IDPs",''
08-2006,271,3,Deepening Economic Crisis,''
08-2006,141,5,"Conflict, insecurity.",''
09-2006,1,4,"Civil strife, IDPs and returnees, avian influenza",''
09-2006,8,5,"Resettlement of returnees, adverse weather in parts",''
09-2006,42,5,"After effects of 2004 drought and locusts, avian influenza",''
09-2006,43,3,"Civil strife, IDPs, returnees and recent dry spells",''
09-2006,49,5,"Recent civil strife, insecurity",''
09-2006,50,5,"Refugees, insecurity",''
09-2006,57,5,"Civil strife, IDPs",''
09-2006,59,5,"IDPs, refugees",''
09-2006,68,5,"Civil strife, IDPs and refugees",''
09-2006,66,5,"Civil strife, IDPs, avian influenza",''
09-2006,63,5,Lower planted area and yields,''
09-2006,77,3,"Drought, IDPs, returnees, high food prices",''
09-2006,79,5,"IDPs, low incomes, drought in south-eastern parts",''
09-2006,106,5,"IDPs, refugees, high food prices",''
09-2006,105,5,Floods in parts,''
09-2006,108,4,"Insecurity, constraints to agriculture",''
09-2006,116,5,After effects of the Tsunami and earthquake,''
09-2006,118,4,"Conflict and insecurity, IDPs",''
09-2006,133,5,Drought in parts,''
09-2006,67,4,Economic constraints,''
09-2006,141,5,Conflict and insecurity,''
09-2006,142,3,"Multiple year droughts, HIV/AIDS impact",''
09-2006,144,4,"Post-conflict recovery period, IDPs",''
09-2006,150,5,Drought in parts,''
09-2006,155,5,After effects of 2004 drought and locusts,''
09-2006,159,4,After effects of 2004 drought and locusts,''
09-2006,167,4,Adverse weather conditions,''
09-2006,175,4,Civil strife and drought,''
09-2006,181,4,"After effects of 2004, avian influenza",''
09-2006,188,5,After effects of the Kashmir earthquake,''
09-2006,204,5,Civil strife,''
09-2006,221,4,"Post-conflict recovery period, refugees",''
09-2006,226,3,"Drought, civil strife",''
09-2006,231,5,"After effects of the Tsunami, insecurity",''
09-2006,40764,5,"Civil strife, returnees, drought in parts",''
09-2006,235,3,"Multiple year droughts, HIV/AIDS impact",''
09-2006,257,5,Drought in parts,''
09-2006,242,4,"Adverse weather conditions, civil strife",''
09-2006,253,5,"Civil strife, IDPs",''
09-2006,271,3,Deepening Economic Crisis,''
10-2006,226,3,"Drought, civil strife",''
10-2006,221,4,"Post-conflict recovery period, refugees",''
10-2006,204,5,Civil strife,''
10-2006,188,5,After effects of the Kashmir earthquake,''
10-2006,175,4,Civil strife and drought,''
10-2006,181,4,"After effects of 2004, avian influenza",''
10-2006,167,4,Adverse weather conditions,''
10-2006,159,4,After effects of 2004 drought and locusts,''
10-2006,155,5,After effects of 2004 drought and locusts,''
10-2006,150,5,Drought in parts,''
10-2006,142,3,"Multiple year droughts, HIV/AIDS impact",''
10-2006,144,4,"Post-conflict recovery period, IDPs",''
10-2006,141,5,Conflict and insecurity,''
10-2006,67,4,Economic constraints,''
10-2006,133,5,Drought in parts,''
10-2006,118,4,"Conflict and insecurity, IDPs",''
10-2006,116,5,After effects of the Tsunami and earthquake,''
10-2006,108,4,"Insecurity, constraints to agriculture",''
10-2006,105,5,Floods in parts,''
10-2006,106,5,"IDPs, refugees, high food prices",''
10-2006,79,5,"IDPs, low incomes, drought in south-eastern parts",''
10-2006,77,3,"Drought, IDPs, returnees, high food prices",''
10-2006,63,5,Lower planted area and yields,''
10-2006,66,5,"Civil strife, IDPs, avian influenza",''
10-2006,68,5,"Civil strife, IDPs and refugees",''
10-2006,59,5,"IDPs, refugees",''
10-2006,57,5,"Civil strife, IDPs",''
10-2006,50,5,"Refugees, insecurity",''
10-2006,49,5,"Recent civil strife, insecurity",''
10-2006,43,3,"Civil strife, IDPs, returnees and recent dry spells",''
10-2006,42,5,"After effects of 2004 drought and locusts, avian influenza",''
10-2006,8,5,"Resettlement of returnees, adverse weather in parts",''
10-2006,1,4,"Civil strife, IDPs and returnees, avian influenza",''
10-2006,231,5,"After effects of the Tsunami, insecurity",''
10-2006,40764,5,"Civil strife, returnees, drought in parts",''
10-2006,235,3,"Multiple year droughts, HIV/AIDS impact",''
10-2006,257,5,Drought in parts,''
10-2006,242,4,"Adverse weather conditions, civil strife",''
10-2006,253,5,"Civil strife, IDPs",''
10-2006,271,3,Deepening Economic Crisis,''
11-2006,133,5,Drought in parts,''
11-2006,106,5,"IDPs, refugees, high food prices",''
11-2006,66,5,"Civil strife, IDPs",''
11-2006,68,5,"Divil strife, IDPs and refugees",''
11-2006,50,5,"Refugees, insecurity",''
11-2006,105,5,"After effects of floods, localized insecurity",''
11-2006,221,4,"Post-conflict recovery period, refugees",''
11-2006,159,4,After effects of 2004 drought and locusts,''
11-2006,144,4,"Post-conflict recovery period, IDPs",''
11-2006,79,4,"Low incomes, drought in south-eastern parts, localized floods",''
11-2006,77,4,"IDPs, returnees, high food prices",''
11-2006,271,3,Depening economic crisis,''
11-2006,142,3,"Multiple year droughts, HIV/AIDS impact",''
11-2006,43,5,"Civil strife, IDPs, returnees and recent dry spells",''
11-2006,181,4,After effects of 2004 drought and locusts,''
11-2006,235,3,"Multiple year droughts, HIV/AIDS impact",''
11-2006,59,5,"IDPs, refugees",''
11-2006,40764,5,"Civil strife, returnees, drought in parts",''
11-2006,1,4,"Conflict, IDPs and returnees, localized drought",''
11-2006,19,3,Drought,''
11-2006,92,4,External trade constraints,''
11-2006,257,5,Drought in parts and refugees,''
11-2006,253,5,"Civil strife, IDPs",''
11-2006,67,4,"Economic constraints, floods",''
11-2006,167,4,Multiple years of adverse weather,''
11-2006,175,4,Civil strife and drought,''
11-2006,23,5,Floods,''
11-2006,188,5,"After effects of the Kashmir earthquake, floods",''
11-2006,108,4,"Insecurity, economic crisis",''
12-2006,181,4,After effects of 2004 drought and locusts,''
12-2006,43,5,"Civil strife, IDPs, returnees and recent dry spells",''
12-2006,67,4,"Economic constraints, floods",''
12-2006,253,5,"Civil strife, IDPs",''
12-2006,142,3,"Multiple year droughts, HIV/AIDS impact",''
12-2006,271,3,Depening economic crisis,''
12-2006,77,4,"IDPs, returnees, high food prices",''
12-2006,79,4,"Low incomes, drought in south-eastern parts, localized floods",''
12-2006,144,4,"Post-conflict recovery period, IDPs",''
12-2006,159,4,After effects of 2004 drought and locusts,''
12-2006,221,4,"Post-conflict recovery period, refugees",''
12-2006,105,5,"After effects of floods, localized insecurity",''
12-2006,50,5,"Refugees, insecurity",''
12-2006,68,5,"Divil strife, IDPs and refugees",''
12-2006,66,5,"Civil strife, IDPs",''
12-2006,106,5,"IDPs, refugees, high food prices",''
12-2006,133,5,Drought in parts,''
12-2006,257,5,Drought in parts and refugees,''
12-2006,92,4,External trade constraints,''
12-2006,19,3,Drought,''
12-2006,1,4,"Conflict, IDPs and returnees, localized drought",''
12-2006,40764,5,"Civil strife, returnees, drought in parts",''
12-2006,235,3,"Multiple year droughts, HIV/AIDS impact",''
12-2006,59,5,"IDPs, refugees",''
12-2006,167,4,Multiple years of adverse weather,''
12-2006,175,4,Civil strife and drought,''
12-2006,23,5,Floods,''
12-2006,188,5,"After effects of the Kashmir earthquake, floods",''
12-2006,108,4,"Insecurity, economic crisis",''
01-2007,235,3,"Multiple year droughts, HIV/AIDS impact",''
01-2007,40764,5,"Civil strife, returnees, drought in parts",''
01-2007,1,4,"Conflict, IDPs and returnees, localized drought",''
01-2007,19,3,Drought,''
01-2007,92,4,External trade constraints,''
01-2007,133,5,Drought in parts,''
01-2007,257,5,Drought in parts and refugees,''
01-2007,106,5,"IDPs, refugees, high food prices",''
01-2007,66,5,"Civil strife, IDPs",''
01-2007,68,5,"Divil strife, IDPs and refugees",''
01-2007,50,5,"Refugees, insecurity",''
01-2007,105,5,"After effects of floods, localized insecurity",''
01-2007,221,4,"Post-conflict recovery period, refugees",''
01-2007,159,4,After effects of 2004 drought and locusts,''
01-2007,144,4,"Post-conflict recovery period, IDPs",''
01-2007,79,4,"Low incomes, drought in south-eastern parts, localized floods",''
01-2007,77,4,"IDPs, returnees, high food prices",''
01-2007,271,3,Depening economic crisis,''
01-2007,142,3,"Multiple year droughts, HIV/AIDS impact",''
01-2007,253,5,"Civil strife, IDPs",''
01-2007,67,4,"Economic constraints, floods",''
01-2007,43,5,"Civil strife, IDPs, returnees and recent dry spells",''
01-2007,181,4,After effects of 2004 drought and locusts,''
01-2007,59,5,"IDPs, refugees",''
01-2007,167,4,Multiple years of adverse weather,''
01-2007,175,4,Civil strife and drought,''
01-2007,23,5,Floods,''
01-2007,188,5,"After effects of the Kashmir earthquake, floods",''
01-2007,108,4,"Insecurity, economic crisis",''
02-2007,235,3,"Multiple year droughts, HIV/AIDS impact",''
02-2007,40764,5,"Civil strife, returnees, drought in parts",''
02-2007,1,4,"Conflict, IDPs and returnees, localized drought",''
02-2007,19,3,Drought,''
02-2007,257,5,Drought in parts and refugees,''
02-2007,106,5,"IDPs, refugees, high food prices",''
02-2007,66,5,"Civil strife, IDPs",''
02-2007,68,5,"Civil strife, IDPs and refugees",''
02-2007,50,5,"Refugees, insecurity",''
02-2007,105,5,"After effects of floods, localized insecurity",''
02-2007,221,4,"Post-conflict recovery period, refugees",''
02-2007,144,4,"Post-conflict recovery period, IDPs",''
02-2007,77,4,"IDPs, returnees, high food prices",''
02-2007,142,3,"Multiple year droughts, HIV/AIDS impact",''
02-2007,8,5,Drought in parts,''
02-2007,67,4,"Economic constraints, floods",''
02-2007,43,5,"Civil strife, IDPs, returnees and recent dry spells",''
02-2007,181,4,After effects of 2004 drought and locusts,''
02-2007,59,5,"IDPs, refugees",''
02-2007,175,4,Civil strife and drought,''
02-2007,188,5,"After effects of the Kashmir earthquake, floods",''
02-2007,108,4,"Insecurity, economic crisis",''
02-2007,231,5,"After effects of the Tsunami, deepening conflicts and floods",''
02-2007,150,5,Dry weather in southern areas,''
02-2007,196,3,Successive typhoons,''
02-2007,118,3,"Conflict and insecurity, IDPs",''
02-2007,226,3,"Conflict, floods and drought",''
02-2007,133,5,Drought and floods in parts,''
02-2007,49,5,"Civil strife, IDPs",''
02-2007,253,5,"Civil strife, IDPs, drought in Karamoja",''
02-2007,79,4,"Low incomes, localized floods",''
02-2007,242,5,"Civil strife, IDPs, and Drought",''
02-2007,159,4,Multiple year droughts,''
02-2007,271,3,Deepening economic crisis,''
03-2007,106,5,"IDPs, refugees, high food prices",''
03-2007,257,5,Drought in parts and refugees,''
03-2007,150,5,Dry weather in southern areas,''
03-2007,19,3,Drought,''
