FeatureCode,Commodity,FurtherCode,CropStage,StartDate,EndDate
3,100300,1,3,1900-05-21,1900-07-21
3,100300,1,4,1900-10-21,1900-12-11
3,100300,1,1,1900-12-21,1900-05-11
3,070820_00,1,4,1900-04-21,1900-06-11
3,070820_00,1,1,1900-06-21,1900-07-01
3,070820_00,1,3,1900-07-11,1900-08-21
3,121490_01,1,1,1900-05-01,1900-05-11
3,121490_01,1,3,1900-05-21,1900-10-21
3,121490_01,1,4,1900-11-01,1900-04-21
3,1005,1,4,1900-04-21,1900-06-11
3,1005,1,1,1900-06-21,1900-08-11
3,1005,1,3,1900-08-21,1900-10-21
3,100400,1,3,1900-05-21,1900-07-21
3,100400,1,4,1900-10-21,1900-12-11
3,100400,1,1,1900-12-21,1900-05-11
3,071010,1,5,1900-02-21,1900-04-11
3,071010,1,1,1900-04-21,1900-05-11
3,071010,1,3,1900-05-21,1900-09-11
3,1002,1,3,1900-05-21,1900-07-21
3,1002,1,4,1900-10-21,1900-12-11
3,1002,1,1,1900-12-21,1900-05-11
3,07_00,56,5,1900-04-21,1900-05-11
3,07_00,56,2,1900-05-21,1900-08-11
3,07_00,56,3,1900-08-21,1900-10-11
3,07_00,57,5,1900-02-21,1900-03-11
3,07_00,57,2,1900-03-21,1900-08-21
3,07_00,57,3,1900-09-01,1900-10-21
3,07_00,64,3,1900-02-21,1900-04-11
3,07_00,64,5,1900-10-11,1900-11-21
3,07_00,64,1,1900-12-01,1900-02-11
3,1001_00,1,3,1900-06-01,1900-07-21
3,1001_00,1,4,1900-10-21,1900-12-11
3,1001_00,1,1,1900-12-21,1900-05-21
4,100300,1,1,1900-01-21,1900-06-01
4,100300,1,3,1900-06-11,1900-07-11
4,100300,1,4,1900-10-11,1900-01-11
4,1006,1,4,1900-03-11,1900-06-11
4,1006,1,1,1900-06-21,1900-09-01
4,1006,1,3,1900-09-11,1900-10-11
4,100700,1,1,1900-01-21,1900-06-01
4,100700,1,3,1900-06-11,1900-08-11
4,100700,1,4,1900-10-11,1900-01-11
4,1212_03,1,4,1900-02-01,1900-03-11
4,1212_03,1,1,1900-03-21,1900-07-01
4,1212_03,1,3,1900-07-11,1900-08-11
4,1001_00,1,1,1900-01-21,1900-06-01
4,1001_00,1,3,1900-06-11,1900-08-11
4,1001_00,1,4,1900-10-11,1900-01-11
8,1005,1,3,1900-03-01,1900-04-21
8,1005,1,4,1900-09-01,1900-11-01
8,1005,1,1,1900-11-11,1900-02-21
8,100820,1,3,1900-05-01,1900-06-21
8,100820,1,4,1900-11-01,1900-12-21
8,071010,1,3,1900-01-11,1900-05-11
8,071010,1,4,1900-08-11,1900-09-11
8,071010,1,1,1900-09-21,1900-01-01
8,1006,1,3,1900-03-11,1900-05-11
8,1006,1,4,1900-10-11,1900-12-11
8,1006,1,1,1900-12-21,1900-03-01
8,100700,1,1,1900-01-11,1900-04-21
8,100700,1,3,1900-05-01,1900-06-21
8,100700,1,4,1900-11-01,1900-01-01
8,1001_00,1,4,1900-05-01,1900-05-21
8,1001_00,1,1,1900-06-01,1900-09-21
8,1001_00,1,3,1900-10-01,1900-10-21
12,100300,1,4,1900-06-11,1900-09-11
12,100300,1,1,1900-09-21,1900-11-01
12,100300,1,3,1900-11-11,1900-01-11
12,200830,1,3,1900-04-01,1900-12-21
12,52,1,3,1900-02-21,1900-06-21
12,52,1,4,1900-09-01,1900-11-21
12,52,1,1,1900-12-01,1900-02-11
12,1005,1,3,1900-03-01,1900-05-21
12,1005,1,4,1900-09-21,1900-12-11
12,1005,1,1,1900-12-21,1900-02-21
12,100820,1,4,1900-09-11,1900-12-11
12,100820,1,3,1900-12-21,1900-05-01
12,1006,1,3,1900-03-11,1900-06-11
12,1006,1,4,1900-09-11,1900-12-11
12,1006,1,1,1900-12-21,1900-03-01
12,100700,1,3,1900-03-01,1900-06-21
12,100700,1,4,1900-10-01,1900-12-21
12,120100_00,1,1,1900-01-01,1900-03-21
12,120100_00,1,3,1900-04-01,1900-05-21
12,120100_00,4,1,1900-02-01,1900-04-21
12,120100_00,4,3,1900-05-01,1900-06-21
12,120600_00,1,3,1900-02-21,1900-05-11
12,120600_00,1,4,1900-09-21,1900-12-11
12,120600_00,1,1,1900-12-21,1900-02-11
12,1001_00,64,4,1900-06-11,1900-09-11
12,1001_00,64,1,1900-09-21,1900-10-21
12,1001_00,64,3,1900-11-01,1900-01-11
13,10_01,1,4,1900-04-01,1900-06-21
13,10_01,1,1,1900-07-01,1900-07-21
13,10_01,1,3,1900-08-01,1900-09-21
13,1001_00,64,3,1900-05-01,1900-07-21
13,1001_00,64,4,1900-08-01,1900-10-21
13,1001_00,64,1,1900-11-01,1900-04-21
19,52,1,4,1900-04-01,1900-04-21
19,52,1,1,1900-05-01,1900-08-21
19,52,1,3,1900-09-01,1900-10-21
19,10_06,64,1,1900-01-01,1900-05-21
19,10_06,64,3,1900-06-01,1900-07-21
19,10_06,64,4,1900-11-01,1900-12-21
19,10_06,55,4,1900-03-01,1900-04-21
19,10_06,55,1,1900-05-01,1900-06-21
19,10_06,55,3,1900-07-01,1900-08-21
19,071010,14,4,1900-02-01,1900-03-21
19,071010,14,1,1900-04-01,1900-05-21
19,071010,14,3,1900-06-01,1900-07-21
19,071010,27,4,1900-04-01,1900-05-21
19,071010,27,1,1900-06-01,1900-07-21
19,071010,27,3,1900-08-01,1900-09-21
23,071010,1,1,1900-01-01,1900-03-11
23,071010,1,3,1900-03-21,1900-05-11
23,071010,1,4,1900-10-11,1900-12-21
23,1006,41,4,1900-05-21,1900-08-11
23,1006,41,1,1900-08-21,1900-10-21
23,1006,41,3,1900-11-01,1900-12-11
23,1006,42,4,1900-03-11,1900-05-11
23,1006,42,1,1900-05-21,1900-06-11
23,1006,42,3,1900-06-21,1900-08-11
23,1006,44,1,1900-02-01,1900-04-11
23,1006,44,3,1900-04-21,1900-05-11
23,1006,44,4,1900-11-21,1900-01-21
23,100700,1,4,1900-05-11,1900-10-01
23,100700,1,1,1900-10-11,1900-11-11
23,100700,1,3,1900-11-21,1900-12-21
23,1001_00,1,1,1900-01-11,1900-03-11
23,1001_00,1,3,1900-03-21,1900-04-21
23,1001_00,1,4,1900-11-11,1900-01-01
26,100300,55,4,1900-04-01,1900-05-21
26,100300,55,1,1900-06-01,1900-07-21
26,100300,55,3,1900-08-01,1900-09-21
26,10,55,4,1900-04-01,1900-06-21
26,10,55,3,1900-07-01,1900-09-21
26,10,64,3,1900-07-01,1900-08-11
26,10,64,4,1900-08-21,1900-10-21
26,10,64,1,1900-11-01,1900-06-21
26,1002,64,3,1900-07-01,1900-08-01
26,1002,64,4,1900-08-11,1900-09-11
26,1002,64,1,1900-09-21,1900-06-21
29,071410,1,4,1900-05-01,1900-06-21
29,071410,1,1,1900-07-01,1900-11-21
29,071410,1,3,1900-12-01,1900-01-21
29,1006,21,4,1900-05-01,1900-07-21
29,1006,21,1,1900-08-01,1900-10-21
29,1006,21,3,1900-11-01,1900-01-21
29,1005,27,4,1900-03-01,1900-04-21
29,1005,27,1,1900-05-01,1900-07-21
29,1005,27,3,1900-08-01,1900-09-21
29,1005,47,4,1900-08-01,1900-09-21
29,1005,47,1,1900-10-01,1900-11-21
29,1005,47,3,1900-12-01,1900-01-21
29,100820,1,4,1900-05-01,1900-07-21
29,100820,1,1,1900-08-01,1900-09-21
29,100820,1,3,1900-10-01,1900-11-21
29,1006,1,4,1900-04-01,1900-05-21
29,1006,1,1,1900-06-01,1900-07-21
29,1006,1,3,1900-08-01,1900-09-21
29,100700,1,4,1900-05-01,1900-07-21
29,100700,1,1,1900-08-01,1900-09-21
29,100700,1,3,1900-10-01,1900-11-21
29,071490_01,1,4,1900-02-01,1900-03-21
29,071490_01,1,1,1900-04-01,1900-06-21
29,071490_01,1,3,1900-07-01,1900-01-21
33,100300,1,3,1900-03-11,1900-05-11
33,100300,1,4,1900-10-11,1900-12-11
33,100300,1,1,1900-12-21,1900-03-01
33,1005,1,3,1900-03-11,1900-05-11
33,1005,1,4,1900-09-11,1900-11-11
33,1005,1,1,1900-11-21,1900-03-01
33,071010,1,3,1900-03-11,1900-05-11
33,071010,1,4,1900-08-21,1900-11-11
33,071010,1,1,1900-11-21,1900-03-01
33,1006,1,3,1900-03-11,1900-05-11
33,1006,1,4,1900-11-01,1900-11-21
33,1006,1,1,1900-12-01,1900-03-01
33,120100_00,1,3,1900-04-11,1900-05-11
33,120100_00,1,4,1900-11-01,1900-11-21
33,120100_00,1,1,1900-12-01,1900-04-01
33,071420,1,3,1900-04-11,1900-08-11
33,071420,1,4,1900-12-01,1900-12-21
33,1001_00,1,3,1900-04-11,1900-06-11
33,1001_00,1,4,1900-11-11,1900-12-11
33,1001_00,1,1,1900-12-21,1900-04-01
35,1005,1,1,1900-02-01,1900-04-11
35,1005,1,3,1900-04-21,1900-06-21
35,1005,1,4,1900-11-11,1900-01-21
35,100820,1,1,1900-01-01,1900-05-01
35,100820,1,3,1900-05-11,1900-06-11
35,100820,1,4,1900-11-11,1900-12-11
35,100700,1,1,1900-02-01,1900-04-21
35,100700,1,3,1900-05-01,1900-06-21
35,100700,1,4,1900-12-01,1900-01-21
35,1001_00,1,4,1900-05-01,1900-05-21
35,1001_00,1,1,1900-06-01,1900-09-21
35,1001_00,1,3,1900-10-01,1900-10-21
37,100300,1,4,1900-05-11,1900-07-11
37,100300,1,1,1900-07-21,1900-10-01
37,100300,1,3,1900-10-11,1900-12-11
37,0901,1,3,1900-06-01,1900-08-21
37,52,11,3,1900-02-01,1900-05-21
37,52,11,4,1900-09-01,1900-11-21
37,52,11,1,1900-12-01,1900-01-21
37,52,34,4,1900-04-01,1900-05-21
37,52,34,1,1900-06-01,1900-07-21
37,52,34,3,1900-08-01,1900-01-21
37,1005,29,1,1900-01-01,1900-01-21
37,1005,29,3,1900-02-01,1900-06-21
37,1005,29,4,1900-10-01,1900-12-21
37,1005,34,4,1900-03-01,1900-05-21
37,1005,34,1,1900-06-01,1900-09-21
37,1005,34,3,1900-10-01,1900-12-21
37,1005,49,4,1900-01-01,1900-02-21
37,1005,49,1,1900-03-01,1900-05-21
37,1005,49,3,1900-06-01,1900-08-21
37,080510,1,3,1900-05-01,1900-12-21
37,1006,11,1,1900-01-01,1900-05-21
37,1006,31,1,1900-03-01,1900-05-21
37,1006,31,3,1900-06-01,1900-08-21
37,1006,34,4,1900-01-01,1900-02-21
37,1006,34,1,1900-03-01,1900-05-21
37,1006,34,3,1900-06-01,1900-08-21
37,100700,1,1,1900-03-21,1900-04-01
37,100700,1,3,1900-04-11,1900-08-11
37,100700,1,4,1900-10-11,1900-03-11
37,120100_00,1,1,1900-01-01,1900-03-01
37,120100_00,1,3,1900-03-11,1900-05-21
37,120100_00,1,4,1900-10-01,1900-12-21
37,1001_00,65,4,1900-05-01,1900-06-21
37,1001_00,65,1,1900-07-01,1900-09-21
37,1001_00,65,3,1900-10-01,1900-12-21
37,1001_00,66,4,1900-04-01,1900-05-21
37,1001_00,66,1,1900-06-01,1900-08-21
37,1001_00,66,3,1900-09-01,1900-11-21
42,1005,1,4,1900-04-01,1900-06-21
42,1005,1,1,1900-07-01,1900-07-21
42,1005,1,3,1900-08-01,1900-11-21
42,100820,1,4,1900-05-01,1900-07-21
42,100820,1,1,1900-08-01,1900-08-21
42,100820,1,3,1900-09-01,1900-12-21
42,1006,1,1,1900-01-01,1900-02-21
42,1006,1,3,1900-03-01,1900-04-21
42,1006,1,4,1900-12-01,1900-12-21
42,100700,1,4,1900-05-01,1900-07-21
42,100700,1,1,1900-08-01,1900-08-21
43,070820_00,27,4,1900-09-01,1900-10-21
43,070820_00,27,1,1900-11-01,1900-11-21
43,070820_00,27,3,1900-12-01,1900-01-21
43,070820_00,47,4,1900-02-01,1900-03-21
43,070820_00,47,1,1900-04-01,1900-04-21
43,070820_00,47,3,1900-05-01,1900-06-21
43,1005,27,3,1900-01-01,1900-02-21
43,1005,27,4,1900-09-01,1900-10-21
43,1005,27,1,1900-11-01,1900-12-21
43,1005,47,4,1900-02-01,1900-03-21
43,1005,47,1,1900-04-01,1900-05-21
43,1005,47,3,1900-06-01,1900-07-21
43,100700,27,3,1900-01-01,1900-02-21
43,100700,27,4,1900-09-01,1900-10-21
43,100700,27,1,1900-11-01,1900-12-21
43,100700,47,4,1900-02-01,1900-03-21
43,100700,47,1,1900-04-01,1900-05-21
43,100700,47,3,1900-06-01,1900-07-21
44,1005,1,4,1900-05-01,1900-06-21
44,1005,1,1,1900-07-01,1900-08-21
44,1005,1,3,1900-09-01,1900-10-21
44,1006,13,1,1900-02-01,1900-02-21
44,1006,13,3,1900-03-01,1900-04-21
44,1006,13,4,1900-11-01,1900-01-21
44,1006,28,4,1900-06-01,1900-10-11
44,1006,28,1,1900-10-21,1900-11-21
44,1006,28,3,1900-12-01,1900-02-21
45,071410,1,4,1900-05-01,1900-06-21
45,071410,1,1,1900-07-01,1900-11-21
45,071410,1,3,1900-12-01,1900-01-21
45,1005,27,4,1900-03-01,1900-06-21
45,1005,27,3,1900-07-01,1900-10-21
45,1005,47,4,1900-08-01,1900-09-21
45,1005,47,1,1900-10-01,1900-11-21
45,1005,47,3,1900-12-01,1900-01-21
45,100820,1,4,1900-05-01,1900-07-21
45,100820,1,1,1900-08-01,1900-08-21
45,100820,1,3,1900-09-01,1900-11-21
45,1006,1,4,1900-05-01,1900-07-21
45,1006,1,1,1900-08-01,1900-10-21
45,1006,1,3,1900-11-01,1900-12-21
45,100700,1,4,1900-05-01,1900-07-21
45,100700,1,1,1900-08-01,1900-08-21
45,100700,1,3,1900-09-01,1900-11-21
45,071490_01,1,4,1900-02-01,1900-03-21
45,071490_01,1,1,1900-04-01,1900-06-21
45,071490_01,1,3,1900-07-01,1900-01-21
47,1005,1,4,1900-07-01,1900-08-21
47,1005,1,1,1900-09-01,1900-09-21
47,1005,1,3,1900-10-01,1900-12-21
47,0708_01,1,4,1900-07-01,1900-08-21
47,0708_01,1,1,1900-09-01,1900-09-21
49,071410,1,4,1900-05-01,1900-06-21
49,071410,1,1,1900-07-01,1900-11-21
49,071410,1,3,1900-12-01,1900-01-21
49,1005,53,4,1900-03-21,1900-03-21
49,1005,53,1,1900-04-01,1900-06-21
49,1005,53,3,1900-07-01,1900-08-21
49,1005,54,4,1900-08-01,1900-09-11
49,1005,54,1,1900-09-21,1900-11-21
49,1005,54,3,1900-12-01,1900-12-21
49,100820,1,4,1900-06-01,1900-07-21
49,100820,1,1,1900-08-01,1900-09-21
49,100820,1,3,1900-10-01,1900-11-11
49,1006,1,4,1900-05-01,1900-08-21
49,1006,1,1,1900-09-01,1900-11-11
49,1006,1,3,1900-11-21,1900-12-21
49,100700,1,4,1900-06-01,1900-06-21
49,100700,1,1,1900-07-01,1900-10-01
49,100700,1,3,1900-10-11,1900-11-11
49,071490_01,1,4,1900-02-01,1900-03-21
49,071490_01,1,1,1900-04-01,1900-06-21
49,071490_01,1,3,1900-07-01,1900-01-21
50,1005,1,4,1900-06-01,1900-07-21
50,1005,1,1,1900-08-01,1900-08-21
50,1005,1,3,1900-09-01,1900-10-21
50,100820,1,4,1900-05-01,1900-07-21
50,100820,1,1,1900-08-01,1900-08-21
50,100820,1,3,1900-09-01,1900-10-21
50,1006,1,4,1900-06-01,1900-07-21
50,1006,1,3,1900-08-01,1900-11-21
50,100700,1,4,1900-06-01,1900-07-21
50,100700,1,1,1900-08-01,1900-08-21
50,100700,1,3,1900-09-01,1900-11-21
51,100300,1,4,1900-06-21,1900-10-11
51,100300,1,1,1900-10-21,1900-12-01
51,100300,1,3,1900-12-11,1900-02-11
51,1005,1,3,1900-02-11,1900-05-11
51,1005,1,4,1900-09-21,1900-12-11
51,1005,1,1,1900-12-21,1900-02-01
51,1006,1,3,1900-03-11,1900-05-01
51,1006,1,4,1900-10-11,1900-12-11
51,1006,1,1,1900-12-21,1900-03-01
51,1212_03,1,3,1900-03-11,1900-08-11
51,1212_03,1,4,1900-08-21,1900-10-11
51,1212_03,1,1,1900-10-21,1900-03-01
51,1001_00,1,4,1900-04-11,1900-08-11
51,1001_00,1,1,1900-08-21,1900-12-01
51,1001_00,1,3,1900-12-11,1900-02-11
53,52,1,4,1900-04-01,1900-05-11
53,52,1,1,1900-05-21,1900-08-21
53,52,1,3,1900-09-01,1900-10-21
53,1202_00,1,4,1900-05-01,1900-05-21
53,1202_00,1,1,1900-06-01,1900-09-11
53,1202_00,1,3,1900-09-21,1900-10-21
53,1005,31,4,1900-04-21,1900-06-21
53,1005,31,1,1900-07-01,1900-08-21
53,1005,31,3,1900-09-01,1900-10-11
53,1005,52,4,1900-02-21,1900-04-11
53,1005,52,1,1900-04-21,1900-06-21
53,1005,52,3,1900-07-01,1900-08-21
53,1205_00,1,1,1900-01-01,1900-03-21
53,1205_00,1,3,1900-04-01,1900-05-21
53,1205_00,1,4,1900-11-01,1900-12-21
53,1006,15,4,1900-03-01,1900-04-21
53,1006,15,1,1900-05-01,1900-05-21
53,1006,15,3,1900-06-01,1900-07-21
53,1006,25,4,1900-06-01,1900-07-21
53,1006,25,1,1900-08-01,1900-09-21
53,1006,25,3,1900-10-01,1900-11-21
53,1006,51,4,1900-04-01,1900-06-11
53,1006,51,1,1900-06-21,1900-08-11
53,1006,51,3,1900-08-21,1900-10-01
53,120100_00,1,4,1900-04-21,1900-05-21
53,120100_00,1,1,1900-06-01,1900-08-21
53,120100_00,1,3,1900-09-01,1900-10-11
53,1212_03,1,4,1900-04-01,1900-05-01
53,1212_03,1,1,1900-05-11,1900-09-21
53,1212_03,1,3,1900-10-01,1900-11-21
53,1001_00,58,4,1900-03-11,1900-04-21
53,1001_00,58,1,1900-05-01,1900-07-01
53,1001_00,58,3,1900-07-11,1900-08-11
53,1001_00,64,3,1900-05-21,1900-06-21
53,1001_00,64,4,1900-09-11,1900-10-21
53,1001_00,64,1,1900-11-01,1900-05-11
57,100300,1,4,1900-01-11,1900-05-11
57,100300,1,1,1900-05-21,1900-06-01
57,100300,1,3,1900-06-11,1900-09-11
57,1005,1,4,1900-02-11,1900-04-11
57,1005,1,1,1900-04-21,1900-07-21
57,1005,1,3,1900-08-01,1900-09-21
57,1006,1,4,1900-02-11,1900-03-11
57,1006,1,1,1900-03-21,1900-08-01
57,1006,1,3,1900-08-11,1900-10-11
57,100700,1,4,1900-01-11,1900-04-11
57,100700,1,1,1900-04-21,1900-05-01
57,100700,1,3,1900-05-11,1900-08-11
57,120100_00,1,4,1900-08-11,1900-09-11
57,120100_00,1,1,1900-09-21,1900-12-01
57,120100_00,1,3,1900-12-11,1900-02-11
57,1001_00,1,4,1900-02-21,1900-04-21
57,1001_00,1,1,1900-05-01,1900-06-01
57,1001_00,1,3,1900-06-11,1900-09-11
68,071410,31,4,1900-04-01,1900-08-21
68,071410,31,3,1900-09-01,1900-03-21
68,071410,52,3,1900-03-01,1900-09-21
68,071410,52,4,1900-10-01,1900-02-21
68,1005,8,4,1900-07-01,1900-09-21
68,1005,8,1,1900-10-01,1900-10-21
68,1005,8,3,1900-11-01,1900-01-21
68,1005,10,1,1900-02-01,1900-02-21
68,1005,10,3,1900-03-01,1900-05-21
68,1005,10,4,1900-11-01,1900-01-21
68,1005,18,1,1900-01-01,1900-02-21
68,1005,18,3,1900-03-01,1900-05-21
68,1005,18,4,1900-11-01,1900-12-21
68,1005,32,4,1900-06-01,1900-07-21
68,1005,32,1,1900-08-01,1900-09-21
68,1005,32,3,1900-10-01,1900-11-21
68,1005,33,4,1900-02-01,1900-03-21
68,1005,33,1,1900-04-01,1900-05-21
68,1005,33,3,1900-06-01,1900-07-21
68,1005,53,3,1900-01-01,1900-02-21
68,1005,53,4,1900-09-01,1900-10-21
68,1005,53,1,1900-11-01,1900-12-21
68,1005,54,4,1900-01-01,1900-02-21
68,1005,54,1,1900-03-01,1900-04-21
68,1005,54,3,1900-05-01,1900-06-21
68,100820,1,4,1900-04-01,1900-06-21
68,100820,1,1,1900-07-01,1900-08-21
68,100820,1,3,1900-09-01,1900-11-21
68,1006,31,4,1900-07-01,1900-08-21
68,1006,31,1,1900-09-01,1900-10-21
68,1006,31,3,1900-11-01,1900-11-21
68,1006,52,1,1900-02-01,1900-04-21
68,1006,52,3,1900-05-01,1900-05-21
68,1006,52,4,1900-12-01,1900-01-21
68,100700,1,4,1900-04-01,1900-06-21
68,100700,1,1,1900-07-01,1900-08-21
68,100700,1,3,1900-09-01,1900-11-21
68,071490_01,1,4,1900-02-01,1900-03-21
68,071490_01,1,1,1900-04-01,1900-06-21
59,071410,1,4,1900-04-01,1900-08-21
59,071410,1,3,1900-09-01,1900-03-21
59,1005,27,4,1900-08-01,1900-11-21
59,1005,27,3,1900-12-01,1900-02-21
59,1005,47,4,1900-02-01,1900-03-21
59,1005,47,1,1900-04-01,1900-05-21
59,1005,47,3,1900-06-01,1900-07-21
59,071490_01,1,4,1900-02-01,1900-03-21
59,071490_01,1,1,1900-04-01,1900-06-21
59,071490_01,1,3,1900-07-01,1900-12-21
61,1005,27,4,1900-04-01,1900-05-21
61,1005,27,1,1900-06-01,1900-07-21
61,1005,27,3,1900-08-01,1900-09-21
61,1005,47,4,1900-08-01,1900-09-21
61,1005,47,1,1900-10-01,1900-10-21
61,1005,47,3,1900-11-01,1900-01-21
61,1006,27,4,1900-04-01,1900-05-21
61,1006,27,1,1900-06-01,1900-07-21
61,1006,27,3,1900-08-01,1900-09-21
61,1006,47,4,1900-08-01,1900-09-21
61,1006,47,1,1900-10-01,1900-10-21
61,1006,47,3,1900-11-01,1900-01-21
61,100700,1,3,1900-04-01,1900-04-11
61,100700,1,4,1900-09-01,1900-12-11
61,100700,1,1,1900-12-21,1900-03-21
66,071410,6,4,1900-03-01,1900-05-21
66,071410,6,1,1900-06-01,1900-12-21
66,071410,7,3,1900-01-01,1900-06-21
66,1005,27,4,1900-03-01,1900-04-21
66,1005,27,1,1900-05-01,1900-07-21
66,1005,27,3,1900-08-01,1900-09-21
66,1005,47,4,1900-08-01,1900-09-21
66,1005,47,1,1900-10-01,1900-11-21
66,1005,47,3,1900-12-01,1900-01-21
66,100820,1,4,1900-05-01,1900-07-21
66,100820,1,1,1900-08-01,1900-09-21
66,100820,1,3,1900-10-01,1900-11-21
66,1006,1,4,1900-04-01,1900-07-21
66,1006,1,1,1900-08-01,1900-08-21
66,1006,1,3,1900-09-01,1900-12-21
66,100700,1,4,1900-05-01,1900-07-21
66,100700,1,1,1900-08-01,1900-09-21
66,100700,1,3,1900-10-01,1900-11-21
66,071490_01,1,4,1900-02-01,1900-03-21
