Date,Value,Measurement Unit,Geographic area,Commodity,Market Label,Commodity Origin
2008-07-25,332,USD per MT,0,US Wheat (hard red),US,0
2008-08-01,333,USD per MT,0,US Wheat (hard red),US,0
2008-08-08,327,USD per MT,0,US Wheat (hard red),US,0
2008-08-15,338,USD per MT,0,US Wheat (hard red),US,0
2008-08-22,357,USD per MT,0,US Wheat (hard red),US,0
2008-08-29,349,USD per MT,0,US Wheat (hard red),US,0
2008-09-05,326,USD per MT,0,US Wheat (hard red),US,0
2008-09-12,309,USD per MT,0,US Wheat (hard red),US,0
2008-09-19,297,USD per MT,0,US Wheat (hard red),US,0
2008-09-26,317,USD per MT,0,US Wheat (hard red),US,0
2008-10-03,293,USD per MT,0,US Wheat (hard red),US,0
2008-10-10,264,USD per MT,0,US Wheat (hard red),US,0
2008-10-17,258,USD per MT,0,US Wheat (hard red),US,0
2008-10-24,249,USD per MT,0,US Wheat (hard red),US,0
2008-10-31,238,USD per MT,0,US Wheat (hard red),US,0
2008-11-07,259,USD per MT,0,US Wheat (hard red),US,0
2008-11-14,245,USD per MT,0,US Wheat (hard red),US,0
2008-11-21,242,USD per MT,0,US Wheat (hard red),US,0
2008-11-28,243,USD per MT,0,US Wheat (hard red),US,0
2008-12-05,235,USD per MT,0,US Wheat (hard red),US,0
2008-12-12,220,USD per MT,0,US Wheat (hard red),US,0
2008-12-19,238,USD per MT,0,US Wheat (hard red),US,0
2008-12-26,248,USD per MT,0,US Wheat (hard red),US,0
2009-01-02,258,USD per MT,0,US Wheat (hard red),US,0
2009-01-09,276,USD per MT,0,US Wheat (hard red),US,0
2009-01-16,249,USD per MT,0,US Wheat (hard red),US,0
2009-01-23,244,USD per MT,0,US Wheat (hard red),US,0
2009-01-30,255,USD per MT,0,US Wheat (hard red),US,0
2009-02-06,243,USD per MT,0,US Wheat (hard red),US,0
2009-02-13,248,USD per MT,0,US Wheat (hard red),US,0
2009-02-20,234,USD per MT,0,US Wheat (hard red),US,0
2009-02-27,238,USD per MT,0,US Wheat (hard red),US,0
2009-03-06,233,USD per MT,0,US Wheat (hard red),US,0
2009-03-13,248,USD per MT,0,US Wheat (hard red),US,0
2009-03-20,255,USD per MT,0,US Wheat (hard red),US,0
2009-03-27,246,USD per MT,0,US Wheat (hard red),US,0
2009-04-03,240,USD per MT,0,US Wheat (hard red),US,0
2009-04-10,246,USD per MT,0,US Wheat (hard red),US,0
2009-04-17,238,USD per MT,0,US Wheat (hard red),US,0
2009-04-24,242,USD per MT,0,US Wheat (hard red),US,0
2009-05-01,242,USD per MT,0,US Wheat (hard red),US,0
2009-05-08,252,USD per MT,0,US Wheat (hard red),US,0
2009-05-15,266,USD per MT,0,US Wheat (hard red),US,0
2009-05-22,269,USD per MT,0,US Wheat (hard red),US,0
2009-05-29,275,USD per MT,0,US Wheat (hard red),US,0
2009-06-05,294,USD per MT,0,US Wheat (hard red),US,0
2009-06-12,274,USD per MT,0,US Wheat (hard red),US,0
2009-06-19,259,USD per MT,0,US Wheat (hard red),US,0
2009-06-26,251,USD per MT,0,US Wheat (hard red),US,0
2009-07-03,239,USD per MT,0,US Wheat (hard red),US,0
2009-07-10,228,USD per MT,0,US Wheat (hard red),US,0
2009-07-17,234,USD per MT,0,US Wheat (hard red),US,0
2009-07-24,235,USD per MT,0,US Wheat (hard red),US,0
2009-07-31,230,USD per MT,0,US Wheat (hard red),US,0
2009-08-07,238,USD per MT,0,US Wheat (hard red),US,0
2008-07-25,229.28,USD per MT,0,US Wheat (soft red),US,0
2008-08-01,236.63,USD per MT,0,US Wheat (soft red),US,0
2008-08-08,243.61,USD per MT,0,US Wheat (soft red),US,0
2008-08-15,248.75,USD per MT,0,US Wheat (soft red),US,0
2008-08-22,265.56,USD per MT,0,US Wheat (soft red),US,0
2008-08-29,255.55,USD per MT,0,US Wheat (soft red),US,0
2008-09-05,232.49,USD per MT,0,US Wheat (soft red),US,0
2008-09-12,222.48,USD per MT,0,US Wheat (soft red),US,0
2008-09-19,212.19,USD per MT,0,US Wheat (soft red),US,0
2008-09-26,232.58,USD per MT,0,US Wheat (soft red),US,0
2008-10-03,208.52,USD per MT,0,US Wheat (soft red),US,0
2008-10-10,187.67,USD per MT,0,US Wheat (soft red),US,0
2008-10-17,182.98,USD per MT,0,US Wheat (soft red),US,0
2008-10-24,186.07,USD per MT,0,US Wheat (soft red),US,0
2008-10-31,175.63,USD per MT,0,US Wheat (soft red),US,0
2008-11-07,194.74,USD per MT,0,US Wheat (soft red),US,0
2008-11-14,175.72,USD per MT,0,US Wheat (soft red),US,0
2008-11-21,178.11,USD per MT,0,US Wheat (soft red),US,0
2008-11-28,180.59,USD per MT,0,US Wheat (soft red),US,0
2008-12-05,171.59,USD per MT,0,US Wheat (soft red),US,0
2008-12-12,161.12,USD per MT,0,US Wheat (soft red),US,0
2008-12-19,182.98,USD per MT,0,US Wheat (soft red),US,0
2008-12-26,191.71,USD per MT,0,US Wheat (soft red),US,0
2009-01-02,202,USD per MT,0,US Wheat (soft red),US,0
2009-01-09,213.48,USD per MT,0,US Wheat (soft red),US,0
2009-01-16,185.46,USD per MT,0,US Wheat (soft red),US,0
2009-01-23,178.2,USD per MT,0,US Wheat (soft red),US,0
2009-01-30,194.65,USD per MT,0,US Wheat (soft red),US,0
2009-02-06,187.39,USD per MT,0,US Wheat (soft red),US,0
2009-02-13,188.68,USD per MT,0,US Wheat (soft red),US,0
2009-02-20,174.9,USD per MT,0,US Wheat (soft red),US,0
2009-02-27,179.95,USD per MT,0,US Wheat (soft red),US,0
2009-03-06,177.01,USD per MT,0,US Wheat (soft red),US,0
2009-03-13,189.32,USD per MT,0,US Wheat (soft red),US,0
2009-03-20,192.72,USD per MT,0,US Wheat (soft red),US,0
2009-03-27,182.43,USD per MT,0,US Wheat (soft red),US,0
2009-04-03,186.56,USD per MT,0,US Wheat (soft red),US,0
2009-04-10,187.3,USD per MT,0,US Wheat (soft red),US,0
2009-04-17,181.79,USD per MT,0,US Wheat (soft red),US,0
2009-04-24,175.26,USD per MT,0,US Wheat (soft red),US,0
2009-05-01,177.38,USD per MT,0,US Wheat (soft red),US,0
2009-05-08,189.59,USD per MT,0,US Wheat (soft red),US,0
2009-05-19,202.73,USD per MT,0,US Wheat (soft red),US,0
2009-05-22,200.71,USD per MT,0,US Wheat (soft red),US,0
2009-05-29,210.72,USD per MT,0,US Wheat (soft red),US,0
2009-06-05,225.79,USD per MT,0,US Wheat (soft red),US,0
2009-06-12,208.98,USD per MT,0,US Wheat (soft red),US,0
2009-06-19,194.1,USD per MT,0,US Wheat (soft red),US,0
2009-06-26,195.38,USD per MT,0,US Wheat (soft red),US,0
2009-07-03,182.15,USD per MT,0,US Wheat (soft red),US,0
2009-07-10,170.86,USD per MT,0,US Wheat (soft red),US,0
2009-07-17,177.29,USD per MT,0,US Wheat (soft red),US,0
2009-07-24,179.03,USD per MT,0,US Wheat (soft red),US,0
2009-07-31,173.15,USD per MT,0,US Wheat (soft red),US,0
2009-08-07,179.03,USD per MT,0,US Wheat (soft red),US,0
2008-07-25,426,USD per MT,0,Wheat,Dhaka city,0
2008-08-01,416,USD per MT,0,Wheat,Dhaka city,0
2008-08-08,425,USD per MT,0,Wheat,Dhaka city,0
2008-08-15,417,USD per MT,0,Wheat,Dhaka city,0
2008-08-22,408,USD per MT,0,Wheat,Dhaka city,0
2008-08-29,399,USD per MT,0,Wheat,Dhaka city,0
2008-09-05,373,USD per MT,0,Wheat,Dhaka city,0
2008-09-12,389,USD per MT,0,Wheat,Dhaka city,0
2008-09-19,389,USD per MT,0,Wheat,Dhaka city,0
2008-09-26,386,USD per MT,0,Wheat,Dhaka city,0
2008-10-03,386,USD per MT,0,Wheat,Dhaka city,0
2008-10-10,397,USD per MT,0,Wheat,Dhaka city,0
2008-10-17,386,USD per MT,0,Wheat,Dhaka city,0
2008-10-24,376,USD per MT,0,Wheat,Dhaka city,0
2008-10-31,376,USD per MT,0,Wheat,Dhaka city,0
2008-11-07,322,USD per MT,0,Wheat,Dhaka city,0
2008-11-14,351,USD per MT,0,Wheat,Dhaka city,0
2008-11-21,331,USD per MT,0,Wheat,Dhaka city,0
2008-11-28,320,USD per MT,0,Wheat,Dhaka city,0
2008-12-05,296,USD per MT,0,Wheat,Dhaka city,0
2008-12-12,282,USD per MT,0,Wheat,Dhaka city,0
2008-12-19,282,USD per MT,0,Wheat,Dhaka city,0
2008-12-26,238,USD per MT,0,Wheat,Dhaka city,0
2009-01-02,241,USD per MT,0,Wheat,Dhaka city,0
2009-01-09,245,USD per MT,0,Wheat,Dhaka city,0
2009-01-16,239,USD per MT,0,Wheat,Dhaka city,0
2009-01-23,239,USD per MT,0,Wheat,Dhaka city,0
2009-01-30,239,USD per MT,0,Wheat,Dhaka city,0
2009-02-06,242,USD per MT,0,Wheat,Dhaka city,0
2009-02-13,249,USD per MT,0,Wheat,Dhaka city,0
2009-02-20,263,USD per MT,0,Wheat,Dhaka city,0
2009-02-27,257,USD per MT,0,Wheat,Dhaka city,0
2009-03-06,243,USD per MT,0,Wheat,Dhaka city,0
2009-03-13,239,USD per MT,0,Wheat,Dhaka city,0
2009-03-20,233,USD per MT,0,Wheat,Dhaka city,0
2009-03-27,228,USD per MT,0,Wheat,Dhaka city,0
2009-04-03,224,USD per MT,0,Wheat,Dhaka city,0
2009-04-10,216,USD per MT,0,Wheat,Dhaka city,0
2009-04-17,206,USD per MT,0,Wheat,Dhaka city,0
2009-04-24,204,USD per MT,0,Wheat,Dhaka city,0
2009-05-01,208,USD per MT,0,Wheat,Dhaka city,0
2009-05-08,218,USD per MT,0,Wheat,Dhaka city,0
2009-05-19,218,USD per MT,0,Wheat,Dhaka city,0
2009-05-22,218,USD per MT,0,Wheat,Dhaka city,0
2009-05-29,218,USD per MT,0,Wheat,Dhaka city,0
2009-06-05,214,USD per MT,0,Wheat,Dhaka city,0
2009-06-12,214,USD per MT,0,Wheat,Dhaka city,0
2009-06-19,227,USD per MT,0,Wheat,Dhaka city,0
2009-06-26,228,USD per MT,0,Wheat,Dhaka city,0
2009-07-03,233,USD per MT,0,Wheat,Dhaka city,0
2009-07-10,224,USD per MT,0,Wheat,Dhaka city,0
2009-07-17,224,USD per MT,0,Wheat,Dhaka city,0
2009-07-24,224,USD per MT,0,Wheat,Dhaka city,0
2009-07-31,224,USD per MT,0,Wheat,Dhaka city,0
2008-07-25,475,USD per MT,0,Coarse rice,Dhaka city,0
2008-08-01,473,USD per MT,0,Coarse rice,Dhaka city,0
2008-08-08,456,USD per MT,0,Coarse rice,Dhaka city,0
2008-08-15,450,USD per MT,0,Coarse rice,Dhaka city,0
2008-08-22,444,USD per MT,0,Coarse rice,Dhaka city,0
2008-08-29,438,USD per MT,0,Coarse rice,Dhaka city,0
2008-09-05,436,USD per MT,0,Coarse rice,Dhaka city,0
2008-09-12,436,USD per MT,0,Coarse rice,Dhaka city,0
2008-09-19,436,USD per MT,0,Coarse rice,Dhaka city,0
2008-09-26,444,USD per MT,0,Coarse rice,Dhaka city,0
2008-10-03,444,USD per MT,0,Coarse rice,Dhaka city,0
2008-10-10,440,USD per MT,0,Coarse rice,Dhaka city,0
2008-10-17,430,USD per MT,0,Coarse rice,Dhaka city,0
2008-10-24,420,USD per MT,0,Coarse rice,Dhaka city,0
2008-10-31,430,USD per MT,0,Coarse rice,Dhaka city,0
2008-11-07,386,USD per MT,0,Coarse rice,Dhaka city,0
2008-11-14,380,USD per MT,0,Coarse rice,Dhaka city,0
2008-11-21,355,USD per MT,0,Coarse rice,Dhaka city,0
2008-11-28,333,USD per MT,0,Coarse rice,Dhaka city,0
2008-12-05,362,USD per MT,0,Coarse rice,Dhaka city,0
2008-12-12,368,USD per MT,0,Coarse rice,Dhaka city,0
2008-12-19,379,USD per MT,0,Coarse rice,Dhaka city,0
2008-12-26,373,USD per MT,0,Coarse rice,Dhaka city,0
2009-01-02,340,USD per MT,0,Coarse rice,Dhaka city,0
2009-01-09,335,USD per MT,0,Coarse rice,Dhaka city,0
2009-01-16,328,USD per MT,0,Coarse rice,Dhaka city,0
2009-01-23,336,USD per MT,0,Coarse rice,Dhaka city,0
2009-01-30,334,USD per MT,0,Coarse rice,Dhaka city,0
2009-02-06,321,USD per MT,0,Coarse rice,Dhaka city,0
2009-02-13,288,USD per MT,0,Coarse rice,Dhaka city,0
2009-02-20,278,USD per MT,0,Coarse rice,Dhaka city,0
2009-02-27,280,USD per MT,0,Coarse rice,Dhaka city,0
2009-03-06,284,USD per MT,0,Coarse rice,Dhaka city,0
2009-03-13,284,USD per MT,0,Coarse rice,Dhaka city,0
2009-03-20,278,USD per MT,0,Coarse rice,Dhaka city,0
2009-03-27,266,USD per MT,0,Coarse rice,Dhaka city,0
2009-04-03,266,USD per MT,0,Coarse rice,Dhaka city,0
2009-04-10,264,USD per MT,0,Coarse rice,Dhaka city,0
2009-04-17,262,USD per MT,0,Coarse rice,Dhaka city,0
2009-04-24,276,USD per MT,0,Coarse rice,Dhaka city,0
2009-05-01,287,USD per MT,0,Coarse rice,Dhaka city,0
2009-05-08,281,USD per MT,0,Coarse rice,Dhaka city,0
2009-05-19,291,USD per MT,0,Coarse rice,Dhaka city,0
2009-05-22,283,USD per MT,0,Coarse rice,Dhaka city,0
2009-05-29,287,USD per MT,0,Coarse rice,Dhaka city,0
2009-06-05,287,USD per MT,0,Coarse rice,Dhaka city,0
2009-06-12,277,USD per MT,0,Coarse rice,Dhaka city,0
2009-06-19,272,USD per MT,0,Coarse rice,Dhaka city,0
2009-06-26,276,USD per MT,0,Coarse rice,Dhaka city,0
2009-07-03,272,USD per MT,0,Coarse rice,Dhaka city,0
2009-07-10,272,USD per MT,0,Coarse rice,Dhaka city,0
2009-07-17,274,USD per MT,0,Coarse rice,Dhaka city,0
2009-07-24,275,USD per MT,0,Coarse rice,Dhaka city,0
2009-07-31,270,USD per MT,0,Coarse rice,Dhaka city,0
2009-08-07,270,USD per MT,0,Coarse rice,Dhaka city,0
2008-07-25,304,USD per MT,0,Rice,Kolkata,0
2008-08-01,304,USD per MT,0,Rice,Kolkata,0
2008-08-08,303,USD per MT,0,Rice,Kolkata,0
2008-08-15,303,USD per MT,0,Rice,Kolkata,0
2008-08-22,303,USD per MT,0,Rice,Kolkata,0
2008-08-29,286,USD per MT,0,Rice,Kolkata,0
2008-09-05,286,USD per MT,0,Rice,Kolkata,0
2008-09-12,286,USD per MT,0,Rice,Kolkata,0
2008-09-19,286,USD per MT,0,Rice,Kolkata,0
2008-09-26,286,USD per MT,0,Rice,Kolkata,0
2008-10-03,267,USD per MT,0,Rice,Kolkata,0
2008-10-10,267,USD per MT,0,Rice,Kolkata,0
2008-10-17,267,USD per MT,0,Rice,Kolkata,0
2008-10-24,267,USD per MT,0,Rice,Kolkata,0
2008-10-31,267,USD per MT,0,Rice,Kolkata,0
2008-11-07,266,USD per MT,0,Rice,Kolkata,0
2008-11-14,266,USD per MT,0,Rice,Kolkata,0
2008-11-21,266,USD per MT,0,Rice,Kolkata,0
2008-11-28,246,USD per MT,0,Rice,Kolkata,0
2008-12-05,248,USD per MT,0,Rice,Kolkata,0
2008-12-12,248,USD per MT,0,Rice,Kolkata,0
2008-12-19,248,USD per MT,0,Rice,Kolkata,0
2008-12-26,248,USD per MT,0,Rice,Kolkata,0
2009-01-02,246,USD per MT,0,Rice,Kolkata,0
2009-01-09,246,USD per MT,0,Rice,Kolkata,0
2009-01-16,246,USD per MT,0,Rice,Kolkata,0
2009-01-23,247,USD per MT,0,Rice,Kolkata,0
2009-01-30,247,USD per MT,0,Rice,Kolkata,0
2009-02-06,247,USD per MT,0,Rice,Kolkata,0
2009-02-13,242,USD per MT,0,Rice,Kolkata,0
2009-02-20,235,USD per MT,0,Rice,Kolkata,0
2009-02-27,232,USD per MT,0,Rice,Kolkata,0
2009-03-06,233,USD per MT,0,Rice,Kolkata,0
2009-03-13,237,USD per MT,0,Rice,Kolkata,0
2009-03-20,237,USD per MT,0,Rice,Kolkata,0
2009-03-27,240,USD per MT,0,Rice,Kolkata,0
2009-04-03,240,USD per MT,0,Rice,Kolkata,0
2009-04-10,241,USD per MT,0,Rice,Kolkata,0
2009-04-17,241,USD per MT,0,Rice,Kolkata,0
2009-04-24,241,USD per MT,0,Rice,Kolkata,0
2009-05-01,244,USD per MT,0,Rice,Kolkata,0
2009-05-08,241,USD per MT,0,Rice,Kolkata,0
2009-05-19,254,USD per MT,0,Rice,Kolkata,0
2009-05-22,252,USD per MT,0,Rice,Kolkata,0
2009-05-29,254,USD per MT,0,Rice,Kolkata,0
2009-06-05,252,USD per MT,0,Rice,Kolkata,0
2009-06-12,249,USD per MT,0,Rice,Kolkata,0
2009-06-19,247,USD per MT,0,Rice,Kolkata,0
2009-06-26,250,USD per MT,0,Rice,Kolkata,0
2009-07-03,246,USD per MT,0,Rice,Kolkata,0
2009-07-10,247,USD per MT,0,Rice,Kolkata,0
2009-07-17,248,USD per MT,0,Rice,Kolkata,0
2009-07-24,248,USD per MT,0,Rice,Kolkata,0
2009-07-31,252,USD per MT,0,Rice,Kolkata,0
2009-08-07,250,USD per MT,0,Rice,Kolkata,0
2008-07-25,867,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-08-01,864,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-08-08,860,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-08-15,826,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-08-22,792,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-08-29,796,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-09-05,792,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-09-12,788,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-09-19,776,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-09-26,749,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-10-03,734,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-10-10,691,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-10-17,670,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-10-24,648,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-10-31,609,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-11-07,580,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-11-14,576,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-11-21,592,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-11-28,586,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-12-05,585,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-12-12,589,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-12-19,599,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-12-26,615,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-01-02,620,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-01-09,654,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-01-16,683,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-01-23,685,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-01-30,685,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-02-06,681,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-02-13,675,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-02-20,666,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-02-27,659,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-03-06,663,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-03-13,669,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-03-20,673,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-03-27,629,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-04-03,599,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-04-10,591,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-04-17,583,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-04-24,587,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-05-01,558,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-05-08,568,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-05-19,578,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-05-22,585,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-05-29,600,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-06-05,612,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-06-12,618.5,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-06-19,625,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-06-26,634,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-07-03,641,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-07-10,641,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-07-17,636,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-07-24,608,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-07-31,593,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2009-08-07,581,USD per MT,0,Thai 100% parboiled rice,Thailand,0
2008-07-25,788,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-08-01,799,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-08-08,790,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-08-15,783,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-08-22,776,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-08-29,769,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-09-05,715,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-09-12,728,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-09-19,724,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-09-26,729,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-10-03,694,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-10-10,668,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-10-17,619,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-10-24,560,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-10-31,540,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-11-07,559,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-11-14,578,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-11-21,576,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-11-28,567,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-12-05,537,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-12-12,533,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-12-19,548,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2008-12-26,551,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-01-02,580,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-01-09,618,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-01-16,620,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-01-23,643,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-01-30,645,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-02-06,639,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-02-13,621,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-02-20,631,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-02-27,630,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-03-06,628,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-03-13,623,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-03-20,620,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-03-27,600,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-04-03,589,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-04-10,578,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-04-17,567,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-04-24,553,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-05-01,538,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-05-08,537,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-05-19,541,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-05-22,546,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-05-29,591,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-06-05,593,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-06-12,616,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-06-19,607,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-06-26,614,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-07-03,623,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-07-10,632,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-07-17,630,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-07-24,609,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-07-31,578,USD per MT,0,Thai 5% parboiled rice,Thailand,0
2009-08-07,575,USD per MT,0,Thai 5% parboiled rice,Thailand,0
